Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,Cafo Population,Cafo Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,...30
Spaletta Cypress Lane Ranch,"6701 Redhill Road, Petaluma, CA 94952",Spaletta Cypress Lane Ranch,"6701 Red Hill, Petaluma, CA 94952",38.181898,-122.654464,Animal Feeding Facility,null,Sonoma,2,ANIWSTCOWS,Active,Enrollee - WDR,r2-2016-0031,D-21-0018,null,null,03/01/2021,null,06/14/2026,null,Minor,null,null,400,Mature dairy cattle,null,0,0,NA
Spaletta Ranch,"837 Chileno Valley Road, Petaluma, CA 94952",Spaletta Ranch,"837 Chileno Valley, Petaluma, CA 94952",38.207966,-122.674537,Animal Feeding Facility,null,Sonoma,2,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,r2-2016-0031,D-49-0004,null,null,03/01/2021,null,06/14/2026,null,Minor,null,null,880,Mature dairy cattle,null,0,0,NA
"Spaletta, Henry & Elaine","6687 Moro Street, Petaluma, CA 94952",Willow Creek Jerseys,"6687 Moro Street, Petaluma, CA 94952",38.312863,-122.849904,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B12072DSON,null,null,03/17/2020,null,11/30/2029,null,null,null,null,145,Mature dairy cattle,null,0,0,NA
Spring Hill Cheese,"4235 Spring Hill Road, Petaluma, CA 94952",Spring Hill Jersey Cheese,"4235 Spring Hill Road, Petaluma, CA 94952",38.23909,-122.762239,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B12013DSON,null,null,03/04/2020,null,11/30/2029,null,null,null,null,320,Mature dairy cattle,null,1,0,NA
"Squab Producers of California, Inc.","409 Primo Way, Modesto, CA 95358",SPOC,"3519 South Bradbury Road, Turlock, CA 95380",37.45082,-120.88942,Animal Feeding Facility,0259,Stanislaus,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5B50NC00363,null,null,07/20/2018,null,12/05/2021,null,null,null,null,18000,Non-layers (other than liquid manure system),27,1,0,NA
"Staas, Scott","4505 Virginia Road, Marysville, CA 95901",Staas Farms,"3754 Virginia Road, Wheatland, CA 95692",39.271389,-121.544722,Animal Feeding Facility,0241,Yuba,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A58NC00019,null,null,06/29/2007,null,10/02/2018,null,null,A,1,410,Mature dairy cattle,null,0,0,NA
"Staas, Steve","4505 Virginia Road, Marysville, CA 95901","Staas Farms, Inc.","4501 Virginia Road, Marysville, CA 95901",39.116944,-121.541944,Animal Feeding Facility,0241,Yuba,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5A58NC00017,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1025,Mature dairy cattle,null,0,0,NA
Stanley & Mary Vanden Brink Trust,"624 East Callie Avenue, Tulare, CA 93274",Pacific Sun Dairy,"9086 Avenue 144, Tipton, CA 93272",36.051166,-119.368993,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545015001,null,null,06/29/2007,null,10/02/2018,null,null,null,1,1496,Mature dairy cattle,null,0,0,NA
Stanley & Mary Vanden Brink Trust,"624 East Callie Avenue, Tulare, CA 93274",Western Pacific Dairy,"14854 Avenue 120, Pixley, CA 93272",36.00776,-119.23932,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00204,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1402,Mature dairy cattle,null,1,1,NA
"Stanley, Micah","20799 Road 132, Tulare, CA 93274",Prime Cattle LLC,"14529 Avenue 216, Tulare, CA 93274",36.183572,-119.248753,Animal Feeding Facility,null,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2017-0058,5C54NC00385,null,null,06/17/2020,null,06/17/2025,null,null,null,null,6060,Calf feedlots,2862,1,1,NA
"Stegall, Todd","3455 Grover Avenue, Colusa, CA 95932",Todd Stegall Bull Development Facility,"24760 Moller Avenue, Orland, CA 95963",39.81299,-122.11184,Animal Feeding Facility,0241,Tehama,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5A52NC00057,null,null,04/03/2019,null,null,null,null,null,null,400,Cattle or cow/calf pairs,480,0,0,NA
Steve & Loretta Scheenstra Trust,"5311 Avenue 272, Visalia, CA 93277",S & S Dairy,"5311 Ave 272, Visalia, CA 93277",36.28159,-119.45406,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545084N01,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3380,Mature dairy cattle,null,0,0,NA
Steve Gaspar,"17800 4th Avenue, Hanford, CA 93230",Parreira & Gaspar Dairy,"17800 4th Avenue, Hanford, CA 93230",36.21584,-119.529643,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00039,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1381,Mature dairy cattle,null,0,2,NA
Steve Riebli Dairy,"1615 Cunningham Road, Sebastopol, CA 95472",Steve Riebli Dairy,"1615 Cunningham Road, Sebastopol, CA 95472",38.357102,-122.801882,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B12048DSON,null,null,03/04/2020,null,11/30/2029,null,null,null,null,0,Mature dairy cattle,null,0,0,NA
"Stiefel, Jack & Mark Dairy","32750 Holland Road, Winchester, CA 92596",Stiefel Dairy,"32750 Holland Road, Winchester, CA 92596",33.67445,-117.08907,Animal Feeding Facility,0241,Riverside,9,ANIWSTCOWS,Active,Enrollee,R9-2008-0130,9 000002782,null,06/13/2012,06/13/2012,null,06/13/2017,.075,Minor,C,2,1687,Mature dairy cattle,null,3,4,NA
Stornetta Ranch LLC #1,"44100 Stornetta Drive, Point Arena, CA 95468",Stornetta Ranch #1,"44100 Stornetta Drive, Manchester, CA 95459",38.947369,-123.703351,Animal Feeding Facility,0241,Mendocino,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B95100DMEN,null,null,01/22/2020,null,11/30/2029,null,null,null,null,600,Mature dairy cattle,null,0,0,NA
Stornetta Ranch LLC #2,"Po Box 296, Manchester, CA 95459",Stornetta Ranch #2,"45100 Biaggi Road, Manchester, CA 95459",38.966817,-123.70679,Animal Feeding Facility,11212,Mendocino,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B12049DMEN,null,null,01/22/2020,null,11/30/2029,null,null,null,null,15,Mature dairy cattle,null,0,0,NA
Strauss Dairy,"P.O. Box 848, Marshall, CA 94940",Blakes Landing Farm,"22188 Hwy 1, Marshall, CA 94940",38.1836,-122.90764,Animal Feeding Facility,null,Marin,2,ANIWSTCOWS,Active,Enrollee - WDR,r2-2016-0031,D-21-0021,null,null,03/01/2021,null,06/14/2026,null,Minor,null,null,260,Mature dairy cattle,null,0,0,NA
"Strickland, Matt & Vicki","1320 Arboleda Drive, Merced, CA 95340-9232",Double Creek Dairy,"1320 South Arboleda Drive, Merced, CA 95340",37.310777,-120.378691,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00203,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1880,Mature dairy cattle,null,1,0,NA
Struikmans and Son Dairy,"3021 Emerald Bay, Tulare, CA 93274",Struikmans & Son Dairy #1,"8535 Edison Avenue, Ontario, CA 91762",33.997769,-117.618398,Animal Feeding Facility,0241,San Bernardino,8,ANIWSTCOWS,Active,Enrollee - NPDES,R8-2018-0001,8 365236001,CAG018001,null,10/08/1982,null,03/15/2024,.0001,Minor,C,2,0,Mature dairy cattle,null,0,0,NA
Sukhvinder Bhagal,"5120 West Cypress Avenue, Visalia, CA 93277",Eden-Vale Dairy,"6944 21 1/2 Avenue, Lemoore, CA 93245",36.374991,-119.842805,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165071N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,1040,Mature dairy cattle,null,1,3,NA
Sunrise Dairy Family LP,"7901 Avenue 368, Dinuba, CA 93618",Stone Corral,"37595 Road 140, Visalia, CA 93292",36.47114,-119.26141,Animal Feeding Facility,0211,Tulare,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C54NC00047,null,null,02/15/2019,null,02/15/2024,null,null,null,null,1680,Heifers (non dairy affiliated),2394,0,0,NA
Sunrise Dairy Family LP,"7901 Avenue 368, Dinuba, CA 93618",Sunrise Dairy,"8022 Avenue 368, Dinuba, CA 93618",36.46201,-119.39337,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00295,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1140,Mature dairy cattle,null,1,1,NA
Superior Cattle Feeders LLC,"Po Box 1828, Calipatria, CA 92233",SCF - Fairline Yard,"612 East Simpson Road, Calipatria, CA 92233",33.191472,-115.484028,Animal Feeding Facility,0211,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777019,CAG017001,null,06/25/2008,null,03/31/2027,0,Minor,C,2,17000,Cattle or cow/calf pairs,null,0,0,NA
Superior Cattle Feeders LLC,"Po Box 1828, Calipatria, CA 92233",SCF - Butter Spur West,"352 East Shank Road, Brawley, CA 92227",33.001083,-115.5040833,Animal Feeding Facility,0211,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777028,CAG017001,null,06/25/2008,null,03/31/2027,0,Minor,C,2,9500,Cattle or cow/calf pairs,null,0,0,NA
Superior Cattle Feeders LLC,"Po Box 1828, Calipatria, CA 92233",SCF- Beef Eaters Yard,"Dietrich Road, Brawley, CA 92227",33.0300833,-115.483222,Animal Feeding Facility,0211,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777023,CAG017001,null,06/25/2008,null,03/31/2027,0,Minor,C,2,3500,Cattle or cow/calf pairs,null,0,0,NA
Superior Cattle Feeders LLC,"Po Box 1828, Calipatria, CA 92233",SCF - Main Yard,"6050 Hwy 111, Calipatria, CA 92233",33.093083,-115.51461,Animal Feeding Facility,0211,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777021,CAG017001,null,06/25/2008,null,03/31/2027,0,Minor,C,2,35000,Cattle or cow/calf pairs,null,0,0,NA
Superior Cattle Feeders LLC,"Po Box 1828, Calipatria, CA 92233",SCF - Kershaw Yard,"5455 Kershaw Road, Brawley, CA 92227",33.0893055,-115.510944,Animal Feeding Facility,0211,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777020,CAG017001,null,06/25/2008,null,03/31/2027,.0001,Minor,C,2,12000,Cattle or cow/calf pairs,null,0,0,NA
Superior Cattle Feeders LLC,"Po Box 1828, Calipatria, CA 92233",SCF - Hannon Yard,"649 East Rutherford Road, Brawley, CA 92227",33.0446944,-115.51275,Animal Feeding Facility,0211,Imperial,7,ANIWSTCOWS,Active,Enrollee - NPDES,R7-2021-0029,7A137777022,CAG017001,null,06/25/2008,null,03/31/2027,0,Minor,C,2,25000,Cattle or cow/calf pairs,null,0,0,NA
"Swanson, Matt","Po Box 1350, Hilmar, CA 95324",Vierra Heifer Ranch (Dairy),"25511 West American Avenue, Hilmar, CA 95322",37.41223,-120.95089,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00105,null,null,06/29/2007,null,10/02/2018,null,null,A,1,158,Heifers (non dairy affiliated),null,1,1,NA
"Swanson, Matt","Po Box 1350, Hilmar, CA 95324",Vierra Heifer Feedlot #2,"7057 Prairie Flower Road, Hilmar, CA 95324",37.39125,-120.93251,Animal Feeding Facility,0211,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00425,null,null,04/03/2019,null,null,null,null,null,null,0,Heifers (non dairy affiliated),263.5,0,0,NA
"Swanson, Matt","Po Box 1350, Hilmar, CA 95324",Vierra Heifer Feedlot,"24859 Williams Avenue, Hilmar, CA 95324",37.3901,-120.93856,Animal Feeding Facility,0211,Merced,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B24NC00413,null,null,04/09/2019,null,null,null,null,null,null,40,Heifers (non dairy affiliated),29.2,0,0,NA
"Swanson, Matt","Po Box 1350, Hilmar, CA 95324",Vierra Ranch Dairy,"23160 Williams Avenue, Hilmar, CA 95324",37.39102,-120.90597,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00166,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3200,Mature dairy cattle,null,1,1,NA
"Sweeney, James G & Amelia M","30712 Road 170, Visalia, CA 93292",Sweeney Dairy,"30712 Road 170, Visalia, CA 93292",36.34744,-119.19092,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545155N01,null,null,06/29/2007,null,10/02/2018,null,null,A,1,99,Heifers (non dairy affiliated),null,0,0,NA
TJB Investments,"1311 Monticello Street, Ontario, CA 91762",Lakeview Farms Dairy,"17702 Bear Mountain Boulevard, Bakersfield, CA 93311",35.211641,-119.201026,Animal Feeding Facility,0241,Kern,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C15NC00084,null,null,06/29/2007,null,10/02/2018,null,null,A,1,4241,Mature dairy cattle,null,0,0,NA
"Takhar, S.S. & Amrit Clare","6822 Tegner Road, Hilmar, CA 95324",Brasil Heifers,"7078 Tegner Road, Hilmar, CA 95324",37.39091,-120.88656,Animal Feeding Facility,0241,Merced,5S,"ANIWSTCOWS, ANIWSTOTH",Active,Enrollee - WDR,R5-2017-0058,5B24NC00440,null,null,08/10/2021,null,08/09/2026,null,null,A,1,0,Heifers (non dairy affiliated),99,0,0,NA
"Tavares, Richard","1192 East Gerard Avenue, Merced, CA 95340",Tavares Farms Partnership Dairy,"7205 Mariposa Way, Merced, CA 95341",37.250019,-120.462778,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00231,null,null,06/29/2007,null,10/02/2018,null,null,A,1,600,Mature dairy cattle,null,0,0,NA
"Te Velde, Bernard Jr","2911 Hanford-Armona Road, Hanford, CA 93230",Dixie Creek South Dairy,"24116 Road 28, Tulare, CA 93274",36.22796,-119.50861,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00063,null,null,06/29/2007,null,10/02/2018,null,null,A,1,4175,Heifers (non dairy affiliated),null,0,1,NA
"Te Velde, Bernard Jr","2911 Hanford-Armona Road, Hanford, CA 93230",Dixie Creek Ranch,"3601 Lacey Boulevard, Hanford, CA 93230",36.324175,-119.518938,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00117,null,null,06/29/2007,null,10/02/2018,null,null,A,1,6500,Mature dairy cattle,null,0,0,NA
"Te Velde, Bernard Jr","2911 Hanford-Armona Road, Hanford, CA 93230",Lone Oak #2 Dairy,"10014 South McMullin Grade, Fresno, CA 93706",36.587621,-120.056713,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2010-0130,5C10NC00054,null,null,02/18/2021,null,02/18/2026,null,null,null,null,3493,Mature dairy cattle,null,0,0,NA
"Te Velde, Bernard Jr","2911 Hanford-Armona Road, Hanford, CA 93230",Lone Oak Farms Dairy #1,"13866 4th Avenue, Hanford, CA 93230",36.279275,-119.531097,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165070001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,4747,Mature dairy cattle,null,1,1,NA
"Te Velde, Bernard Jr","2911 Hanford-Armona Road, Hanford, CA 93230",Phoenix Dairy,"10736 1 1/2 Avenue, Hanford, CA 93230",36.319001,-119.48601,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165094N01,null,null,06/29/2007,null,null,null,null,A,1,1705,Mature dairy cattle,null,0,0,NA
"Te Velde, Bernard Sr.","5821 West Prospect Drive, Visalia, CA 93291",Moonstone Dairy,"1305 Iona Avenue, Hanford, CA 93230",36.283003,-119.479639,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C16NC00101,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2062,Mature dairy cattle,null,0,0,NA
"Te Velde, Bernard Sr.","5821 West Prospect Drive, Visalia, CA 93291",Poplar Lane Dairy,"5387 Kent Avenue, Hanford, CA 93230",36.224962,-119.554076,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165046N01,null,null,06/29/2007,null,10/02/2018,null,null,null,null,2593,Mature dairy cattle,null,0,0,NA
"Te Velde, David","5985 4th Avenue, Hanford, CA 93230-9702",Still Water Ranch LLC,"5001 4th Avenue, Hanford, CA 93230",36.398792,-119.524827,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165069001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,5840,Mature dairy cattle,null,0,1,NA
"Te Velde, Eric","1652 4th Avenue, Kingsburg, CA 93631",Open Sky Dairy,"12103 West Elkhorn Avenue, Riverdale, CA 93656",36.48269,-120.02203,Animal Feeding Facility,0241,Fresno,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C10NC00151,null,null,06/29/2007,null,10/02/2018,null,null,A,1,5333,Mature dairy cattle,null,0,0,NA
"Te Velde, George & Margot E","3301 Ladd Road, Modesto, CA 95356-9150",George Tevelde Dairy,"27815 East Dodds Road, Escalon, CA 95320",37.856878,-120.970291,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00072,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2839,Mature dairy cattle,null,1,1,NA
"Te Velde, George & Margot E","3301 Ladd Road, Modesto, CA 95356-9150",Rocking S Dairy #1,"3301 Ladd Road, Modesto, CA 95356",37.733028,-121.044441,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00132,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1260,Mature dairy cattle,null,0,0,NA
"Te Velde, George & Margot E","3301 Ladd Road, Modesto, CA 95356-9150",Rocking S Dairy #2,"2330 Ladd Road, Modesto, CA 95356",37.732915,-121.064182,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00131,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1650,Mature dairy cattle,null,0,0,NA
"Te Velde, Henry",null,Tierra Buena Ranch,"8632 West Meadow Drive, Winton, CA 95388",37.428163,-120.64404,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C245019001,null,06/29/2007,06/29/2007,null,10/02/2018,0,null,C,1,1620,Mature dairy cattle,null,0,0,NA
"Te Velde, Henry",null,JVJ Dairy #2 - Parkview Dairy,"13640 Collier Road, Delhi, CA 95315",37.41288,-120.7341,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C245021001,null,null,06/29/2007,null,10/02/2018,0,null,C,1,1850,Mature dairy cattle,null,0,0,NA
"Te Velde, Jay","6656 Avenue 328, Visalia, CA 93292",Aukeman Farms Dairy,"17297 Road 96, Tulare, CA 93274",36.104906,-119.3661,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545166001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,3552,Mature dairy cattle,null,0,0,NA
"Te Velde, Jay","6656 Avenue 328, Visalia, CA 93292",Double J Feedlot,"6141 Avenue 184, Tulare, CA 93274",36.122637,-119.436894,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00224,null,null,06/29/2007,null,10/02/2018,null,null,A,1,615,Heifers (non dairy affiliated),null,0,0,NA
"Te Velde, Jay","6656 Avenue 328, Visalia, CA 93292",Double J Dairy,"6656 Avenue 328, Visalia, CA 93291",36.38798,-119.42538,Animal Feeding Facility,null,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545085001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,7050,Mature dairy cattle,null,0,0,NA
"Te Velde, Jay","6656 Avenue 328, Visalia, CA 93292",Rancho Sierra Vista Dairy,"32866 Road 108, Visalia, CA 93291",36.38814,-119.33039,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D545060001,null,null,06/29/2007,null,10/02/2018,null,null,A,1,2950,Mature dairy cattle,null,0,0,NA
Ted Pedrozo,"29401 Road 68, Visalia, CA 93277",Crystal View Dairy (former F & J #3),"29401 Road 68, Visalia, CA 93277",36.3225,-119.4234,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00026,null,null,06/29/2007,null,10/02/2018,null,null,A,1,320,Mature dairy cattle,null,0,0,NA
"Teixeira, Gilbert & Linda","5601 Mountain View Road, Turlock, CA 95380",Gil Tex Dairy,"5601 Mountain View Road, Turlock, CA 95382",37.54581,-120.88142,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C505022001,null,06/29/2007,06/29/2007,null,10/02/2018,0,null,C,1,475,Mature dairy cattle,null,2,4,NA
"Teixeira, Tom","9715 West Denton & Leak Road, Dos Palos, CA 95620",John & Nicole Santos Dairy,"22759 South Mercey Springs Road, Los Banos, CA 93635",36.95754,-120.83846,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B24NC00192,null,null,06/29/2007,null,10/02/2018,null,null,A,1,1460,Mature dairy cattle,null,0,0,NA
"Teixiera, Carlos","15035 8th Avenue, Hanford, CA 93230",Dream Dairy Heifer Ranch,"6505 10th Avenue, Hanford, CA 93230",36.378048,-119.635371,Animal Feeding Facility,0211,Kings,5F,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5C16NC00044,null,null,02/15/2019,null,02/15/2024,null,null,null,null,220,Heifers (non dairy affiliated),231,0,0,NA
"Teixiera, Carlos","15035 8th Avenue, Hanford, CA 93230",Dream Dairy,"15035 8th Avenue, Hanford, CA 93230",36.253162,-119.599953,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5D165078001,null,null,06/29/2007,null,10/02/2018,null,null,null,null,425,Mature dairy cattle,null,0,0,NA
"Tenborg, Kevin","2305 Little Ben Road, Lincoln, CA 95648",Tenborg Ranch,"2305 Little Ben Road, Lincoln, CA 95648",38.95391,-121.25822,Animal Feeding Facility,0251,Placer,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2016-0087-01,5A31NC00048,null,null,07/20/2018,null,12/05/2021,null,null,null,null,175382,Non-layers (other than liquid manure system),877,1,0,NA
Teresi Farms,"7575 North Live Oak Road, Lodi, CA 95240",Triple J Dairy,"7575 North Live Oak Road, Lodi, CA 95240",38.08188,-121.22273,Animal Feeding Facility,0241,San Joaquin,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B39NC00114,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,0,0,NA
"Terra, Betty","8988 West Meadow Drive, Winton, CA 95388",Terra Dairy,"8988 West Meadow Drive, Winton, CA 95388",37.426566,-120.651023,Animal Feeding Facility,0241,Merced,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C245022001,null,null,06/29/2007,null,10/02/2018,0,null,C,1,22,Heifers (non dairy affiliated),null,0,0,NA
TerriLinda Dairy,"5368 Stony Point Road, Santa Rosa, CA 95407",TerriLinda Dairy,"5368 Stony Point Road, Cotati, CA 94931",38.345864,-122.739118,Animal Feeding Facility,11212,Sonoma,1,ANIWSTCOWS,Active,Enrollee - WDR,R1-2019-0001,1B12064DSON,null,null,03/04/2020,null,11/30/2029,null,null,null,null,600,Mature dairy cattle,null,0,0,NA
The Arend Ranch (formerly Travis Moreda Dairy),"3245 Spring Hill Road, Petaluma, CA 94952",The Arend Ranch,"3243 Springhill Road, Petaluma, CA 94954",38.22976,-122.73575,Animal Feeding Facility,null,Sonoma,2,ANIWSTCOWS,Active,Enrollee - WDR,r2-2016-0031,D-49-0031,null,null,03/01/2021,null,06/14/2026,null,Minor,null,null,280,Mature dairy cattle,null,0,0,NA
Theo De Haan,"19142 10 1/2 Avenue, Hanford, CA 93230",Hollandia Farms North Dairy,"7905 Kansas Avenue, Hanford, CA 93230",36.208724,-119.596573,Animal Feeding Facility,0241,Kings,5F,ANIWSTCOWS,Active,WDR,R5-2010-0130,5D165080001,null,12/10/2010,05/18/2021,null,05/18/2026,null,null,null,null,2839,Mature dairy cattle,null,0,0,NA
"Thomas, Rhonda","3800 South Blaker Road, Turlock, CA 95380",Fire-Lake Jerseys #2,"10408 West Bradbury Road, Turlock, CA 95380",37.449239,-120.967677,Animal Feeding Facility,0241,Stanislaus,5S,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5B50NC00289,null,null,06/29/2007,null,10/02/2018,null,null,A,1,0,Heifers (non dairy affiliated),null,0,0,NA
Three Machado Sisters LLC,"12700 East Louise Avenue, Manteca, CA 95336",JM Dairy / Machado Sisters Feed Lot,"12700 East Louise Avenue, Manteca, CA 95336",37.80849,-121.15242,Animal Feeding Facility,0211,San Joaquin,5S,ANIWSTOTH,Active,Enrollee - WDR,R5-2017-0058,5B39NC00272,null,null,04/10/2019,null,null,null,null,null,null,300,Cattle or cow/calf pairs,685.2,0,0,NA
"Tiemersma, Jelle J & Peter P","29921 Road 60, Visalia, CA 93291",Tiemersma Dairy,"29981 Road 60, Visalia, CA 93291",36.3356,-119.44155,Animal Feeding Facility,null,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00281,null,null,06/29/2007,null,10/02/2018,null,null,A,1,815,Mature dairy cattle,null,0,0,NA
"Tiersma, Ben & Arlene","9232 Avenue 320, Visalia, CA 93291",Mellema West Dairy,"9232 Avenue 320, Visalia, CA 93291",36.37114,-119.36618,Animal Feeding Facility,0241,Tulare,5F,ANIWSTCOWS,Active,Enrollee - WDR,R5-2013-0122,5C54NC00057,null,null,06/29/2007,null,10/02/2018,null,null,A,1,334,Heifers (non dairy affiliated),null,0,0,NA
