facility_name,facility_address,project_id_number,reporting_cycle_name,agency_name,program_name,program_description,sub_program_name,record_type,project_name,project_type,project_description,census_tract,project_address,senate_district,assembly_district,project_county,total_project_cost,total_program_ggrf_funding,project_life_years,total_project_ghg_reductions,date_operational,project_completion_date,funding_recipient,annual_project_ghg_reductions
Ahlem Farms Partnership,"24093 West American Avenue, Hilmar, CA 95324",19-0843-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Ahlem Farms Dairy Biogas,New Dairy Digester,"Ahlem Farms Dairy is part of the new Hilmar dairy biogas to fuel cluster in Merced County, CA.  The dairy will install a Tier 1 designed manure-only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station (shared with the neighboring Charles Ahlem Ranch digester project) will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connecting to the centralized biogas upgrading and interconnection facility.   Biomethane, meeting PG&E specifications, will be injected into the nearby point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"24093 American Ave, Hilmar, CA 95324",04,22,Merced,6104242,1546738,10,153151,2021-11-30,2021-11-30,-,15315.1
4K Dairy Farm Partnership,"7976 Avenue 84, Pixley, CA",18-0372-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,4K Dairy Digester Pipeline Project,new dairy digester,"4K Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Tulare County, California. The project is a part of the Calgren Dairy Fuels Cluster, developed by Maas Energy Works. The Calgren Dairy Fuels Cluster has already laid four miles of pipeline and begun construction of three digesters awarded CDFA funds in late 2017--scheduled to provide the state's first pipeline diary biogas fuel by June of 2018. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near the Calgren ethanol refinery. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"7957 Ave 84, Pixley, CA 93256",16,33,Tulare,3561176,1780588,10,192143,2020-01-01,2020-01-01,-,19214.3
Charles Ahlem Ranch,"23546 West American Avenue, Hilmar, CA 95324",19-0837-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Charles Ahlem Ranch Dairy Biogas,New Dairy Digester,"Charles Ahlem Ranch Dairy is part of the new Hilmar dairy biogas to fuel cluster in Merced County, CA.  The dairy will install a Tier 1 designed manure-only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station (shared with the neighboring Ahlem Farms Dairy digester project) will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connecting to the centralized biogas upgrading and interconnection facility.   Biomethane, meeting PG&E specifications, will be injected into the nearby point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"23546 American Ave, Hilmar, CA 95324",04,22,Merced,7131972,1373697,10,136018,2021-11-30,2021-11-30,-,13601.8
Toledo Dairy,"26222 North Elliott Road, Galt, CA 95632",19-0945-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Toledo Dairy,Solid Separation with Open Solar Drying,Application for a grant for a solid separation system at Toledo Dairy Farm. Toledo Dairy is requesting to construct a solid manure separator to help California reach its stated future goal of methane reduction.,,"26280 N Elliott Rd, Galt, CA 95632",05,09,San Joaquin,516141,509141,5,2546,2020-09-30,2020-09-30,-,509.2
Antone L Gomes and Sons Dairy,"519 East Stuhr Road, Newman, CA 95360",19-0906-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Antone L Gomes & Sons Dairy,Solid Separation with Composting,"Upgrade our outdated and inefficient mechanical separator to a Houle 2 Stage Mechanical separator with roller press, processing pit for more efficient flushing activities and optimum separation efficiency, concrete pad for composting activities along with composter and tractor for improved composting results.",,"515 E Stuhr Rd, Newman, CA 95360",04,22,Stanislaus,665119,665119,5,3860,2020-11-30,2020-11-30,-,772
Nunes Dairy,"1730 South Healy Road, Merced, CA 95340",19-0910-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Antonio E. Nunes Dairy,Solid Separation with Solid Storage,The Antonio Nunes Dairy is proposing to install a mechanical solid manure separator to an existing flush manure system.,,"1780 South Healy Road, Merced, CA 95341",14,27,Merced,513166,507759,5,4836,2020-09-30,2020-09-30,-,967.2
A & C Machado Dairy,"825 Ruble Road, Crows Landing, CA 95313",20-1027-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Ahlem Farms Jerseys - AAFK Central Dairy Digester Cluster,WASTE DIVERSION AND UTILIZATION,"The Aemetis Biogas project team will install a covered lagoon digester at the project site. When complete, the proposed digester will produce biogas, which after being processed to remove hydrogen sulfide, will be conveyed via private pipeline to the Aemetis Advanced Fuels Keyes facility. There, Aemetis will further upgrade the biogas to pipeline-quality, negative-carbon-intensity renewable natural gas suitable for use as transportation fuel. Aemetis will sell a portion of the RNG to local fleets via its onsite RNG fueling station and will direct the remainder to sale to larger fleets such as UPS, PepsiCo, LA Metro, and Toyota via the Pacific Gas & Electric (PG&E) pipeline, or for use as energy at AAFK to produce renewable ethanol, thus replacing carbon-based natural gas.",,"824 Ruble Road, Crows Landing, CA 95313",04,22,Stanislaus,3264289,1592286,10,113979,2023-01-31,2023-01-31,-,11397.9
"Wilgenburg West, LLC","7442 7th Avenue, Hanford, CA 93230",18-0449-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Lucas B. Wilgenburg,Flush-to-Scrape and Composting,Improve the manure management of their facility utilizing a vacuum tanker and applying slurry from cow lanes to compost rows. The dairy would be converted to a heifer lot in the process and thus allow for the removal of 4 lagoons and will greatly improve the grading of the facility and corrals to slope towards 1 lagoon allowing for better water management. Improving grade of facility will allow for better drainage and improve the management of the 70% of manure deposited on soil by allowing this soil to remain dry and out of an anaerobic environment. This project would be an excellent example of what a comprehensive feedlot manure management plan should strive for with very low GHG emissions per animal as an alternative to incorporating a digester system which is not feasible for smaller operations.,,"7615 7 1/2 Ave, Hanford, CA 93230",16,33,Kings,918216,342207,5,4326,2019-03-12,2019-03-12,-,865.2
Dairyland Farms Dairy,"15982 Road 152, Tipton, CA 93272",19-0840-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Dairyland Farms Dairy Biogas,New Dairy Digester,"Dairyland Farms Dairy joins the South Tulare dairy biogas to fuel cluster.  The dairy will install a Tier 1 designed manure-only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connecting to the centralized biogas upgrading facility.  Biomethane, meeting SoCalGas Rule 30, will be injected into co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"15920 Rd 152, Tipton, CA 93272",16,33,Tulare,4900813,1760347,10,177475,2021-11-30,2021-11-30,-,17747.5
Rob Van Grouw Dairy,"32843 Road 76, Visalia, CA 93291",18-0358-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Rob Van Grouw Dairy Biogas,new dairy digester,"Rob Van Grouw Dairy, a dairy operation located in Visalia, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will include a sand lane, screens and mechanical separator with screw press for solid separation pre-digester.  A compressor will deliver biogas via a biogas gathering line to a centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting SoCalGas Rule 30 specifications.  A gas compressor lifts the gas pressure to SoCalGas's point of receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the project's biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"32800 Rd 76, Visalia, CA 93291",16,33,Tulare,4945654,1193757,10,140442,2020-09-30,2020-09-30,-,14044.2
Riverview Dairy,"9295 Avenue 88, Pixley, CA 93256",18-0376-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Riverview Dairy Digester Pipeline Project,new dairy digester,"Riverview Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Tulare County, California. The project is a part of the Calgren Dairy Fuels Cluster, developed by Maas Energy Works. The Calgren Dairy Fuels Cluster has already laid four miles of pipeline and begun construction of three digesters awarded CDFA funds in late 2017--scheduled to provide the state's first pipeline diary biogas fuel by June of 2018. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near the Calgren ethanol refinery. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"9599 Ave 88, Pixley, CA 93256",16,33,Tulare,2664140,1332070,10,90093,2020-02-01,2020-02-01,-,9009.3
F & S Brasil Dairy,"26230 South Union Road, Manteca, CA 95337",18-0465-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,F & S Brasil Dairy,Solid Separation and Open Solar Drying,Proposal to install a Mechanical Separator through the AMMP Grant Program as a means to reducing methane emissions on the dairy facility. The dairy is proposing to acquire a US Farm Systems dual screen separator with a goal of removing 55% of the solids from the waste stream. A concrete receiving pit for the mechanical separator is also proposed as part of the project.,,"26324 S Union Rd, Manteca, CA 95337",05,09,San Joaquin,218969,213969,5,8557,2019-04-02,2019-04-02,-,1711.4
Soares Dairy Farms Inc,"14515 Badger Flat Road, Los Banos, CA 93635",19-0905-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Badger Flat Dairy,Compost Bedded Pack Barn,"Installation of a compost bedded pack barn over an existing corral, to allow for transfer of milk cows in free stalls to the compost bedded pack barn where dry scraping will occur. This will reduce the manure generated by the animals from entering our storage system and causing solids accumulation from occurring and reducing our storage capacity volume. This will also reduce the solids from entering the anaerobic conditions and reduce greenhouse gases.",,"14515 S Badger Flat Rd, Los Banos, CA 93635",14,27,Merced,710618,710618,5,5338,2020-11-30,2020-11-30,-,1067.6
Brodt Dairy East,"439 Fulmor Road, Ferndale, CA 95536",18-0458-000-AM,2019 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Brodt Dairy,Solid Separation and Compost Bedded Pack Barn,Solid manure separation and composting in passive windrow management for the existing scrape system. The project will install a new 200 foot x 134 foot pole barn for use as a bedded pack barn and a 90 foot x 80 foot pole barn under which will be a solid manure storage area. Two passive composting areas under both barns 10-foot overhangs will help facilitate manure composting production. The project also includes decommissioning an older lagoon and a small underground concrete manure storage tank.,,"551 Fulmor Rd, Ferndale, CA 95536",02,02,Humboldt,837920,750000,5,6200,2020-01-31,2020-01-31,-,1240
Manuel Morris Dairy,"3647 Shiloh Road, Modesto, CA 95351",19-0936-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Manuel J. Morris Dairy,Solid Separation with Open Solar Drying,"The installation of a sloped screen separator system and stacking pad will be constructed adjacent to the two wastewater lagoons. This project will provide several benefits: reduction of greenhouse gases and odor, removal of excess nutrients from irrigation water, production of dry manure solids that can be readily composted, dried or spread as fertilizer or reused as bedding for cows.",,"3513 Shiloh Road, Modesto, CA 95358",04,22,Stanislaus,339212,339212,5,8239,2021-12-31,2021-12-31,-,1647.8
River Ranch Dairy,"6155 Jackson Avenue, Hanford, CA 93230",18-0374-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,River Ranch Dairy Digester Pipeline Project,new dairy digester,"River Ranch Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in King's County, California. The project is 100% farmer owned by the host dairy family Jack and Nicole De Jong. The project is a part of the Hanford-Lakeside Pipeline cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near the dairy. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"6127 Jackson Ave, Hanford, CA 93230",16,33,Kings,3989721,1994860,10,187884,2020-01-01,2020-01-01,-,18788.4
"Ackerman Dairy, Inc.","6942 South Central Avenue, Ceres, CA 95307",18-0387-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Ackerman Dairy Digester Pipeline Project,new dairy digester,"Ackerman Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Stanislaus County, California. The project is a part of the Aemetis Cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near at the Aemetis ethanol refinery. Once at the hub, most of the biogas will be used to fuel partner trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be used on site to fuel boilers at the Aemetis ethanol refinery to make very low carbon vehicle fuel.",,"6934 Central Ave, Ceres, CA 95307",04,22,Stanislaus,2662582,1331291,10,89574,2020-02-01,2020-02-01,-,8957.4
Rib-Arrow Dairy,"18287 Road 136, Tulare, CA 93274",19-0850-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Rib-Arrow Dairy Biogas,New Dairy Digester,"Rib-Arrow Dairy joins the South Tulare dairy biogas to fuel cluster.  The dairy will install a Tier 1 designed manure-only covered lagoon digester with integrated gas storage and pre-treatment. An on-dairy biogas conditioning and compressor station will remove hydrogen sulfide and moisture and then meter and move the clean biogas into a gathering line connecting to the centralized biogas upgrading facility.  Biomethane, meeting SoCalGas Rule 30, will be injected into co-located point of receipt.   The project's biomethane will be delivered as R-CNG to fleets and CNG fueling stations in California. California Bioenergy is the project developer.",,"13234 Ave 180, Tulare, CA 93274",16,33,Tulare,4175150,657231,10,76343,2021-11-30,2021-11-30,-,7634.3
De Jager Dairy So.,"8002 South Bliss Road, Chowchilla, CA 93610",18-0379-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,DJ South Dairy Digester Pipeline Project,new dairy digester,"DJ South Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Merced County, California--opening up digester development in California's second largest dairy county. The project is owned by DJ South Dairy Biogas LLC and is a part of the Merced-South cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub at the center of the dairy group. Once at the hub, the biogas will be used to fuel partner and public trucks at a new compressed natural gas fueling station. The remainder of the gas will be injected into the PG&E utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"7950 S Bliss Rd, Chowchilla, CA 93610",14,27,Merced,3621051,1810526,10,150175,2020-02-01,2020-02-01,-,15017.5
L & J Vanderham Dairy,"10772 West Mt. Whitney Avenue, Riverdale, CA 93656",19-0818-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Vanderham Dairy Digester Pipeline Project,New Dairy Digester,"Vanderham Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Fresno County, California. The project is 100% farmer owned by the host L&J Vanderham Dairy. The project is a part of the Five Points Pipeline cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub near the operational Open Sky Ranch digester. That digester was funded by CDFA in 2015, brought online in 2016, and is host to an older PG&E pipeline injection facility which is being restarted for the Five Points cluster. Once at the hub, the biogas will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent PG&E utility pipeline for delivery to contracted CNG fueling stations around the Central Valley and the state.",,"10845 W Mt Whitney Ave, Riverdale, CA 93656",14,31,Fresno,3969902,1984951,10,186037,2021-11-30,2021-11-30,-,18603.7
Magneson Dairy,"10235 West El Capitan Way, Ballico, CA 95303",17-0662-000-AM,2018 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Magneson Dairy,"Pasture-Based;
Solid Separation;
Composting",Increase pasture time solids removal and composting,,"9999 El Capitan
Ballico, CA 95303",04,22,Merced,565843,559703,5,7690,2019-05-20,2019-05-20,-,1538
Vander Woude Dairy,"1550 West Rahilly Road, Merced, CA 95340",18-0377-000-DD,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Vander Woude Dairy Digester Pipeline Project,new dairy digester,"Vander Woude Dairy Digester Pipeline Project is a new covered lagoon digester processing dairy manure in Merced County, California--opening up digester development in California's second largest dairy county. The project is 100% farmer-owned by host dairy family Simon and Chris Vander Woude. The project is a part of the Merced-South cluster, developed by Maas Energy Works. The methane-rich biogas from the digester will be transported via private, low-pressure pipeline to the cluster's central hub at the center of the dairy group. Once at the hub, the biogas will be used to fuel partner and public trucks at a new compressed natural gas fueling station. The remainder of the gas will be injected into the PG&E utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"1990 Rahilly Rd, Merced, CA 95341",14,27,Merced,3727124,1863562,10,188575,2020-02-01,2020-02-01,-,18857.5
Robert Gioletti & Sons Dairy,"10213 West Main Street, Turlock, CA 95380",17-0664-000-AM,2018 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Robert Gioletti & Sons Dairy,"Flush-to-Scrape (vaccum);
Composting",This project proposes to collect manure from dairy cows with a vacuum scraper 120 days per year and windrow dry that manure on a concrete pad.,,"9769 W. Main 
Turlock, CA 95380",04,22,Stanislaus,759169,750000,5,20630,2018-09-13,2018-09-13,-,4126
Deniz Dairy,"420 Sonoma Mountain Rd., Petaluma, CA 94954",18-0461-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,E & M Deniz Dairy,Solid Separation and Composting,"Installation of a separator and in vessel composter.  Both large and small fibers in the solid part of all waste materials will be immediately removed from the lagoon for separation and composting, with the construction of a small pit equipped with an agitator and pump.  This will allow them to reduce solids in their storage ponds by at least 75% and create a recycled, organic, and sterile bedding material for their cows.  This will also reduce the carbon footprint of the dairy by eliminating the need for 200 tons of bedding material each year that's adds to the solids currently sitting in the lagoons.",,"421 Sonoma Mountain Rd, Petaluma, CA 94954",02,12,Sonoma,647549,615549,5,739,2019-12-31,2019-12-31,-,147.8
Avalon Dairy Farms,"27125 Pond Road, Wasco, CA 93280",19-0830-000-SO,2020 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Avalon Dairy Digester Project,New Dairy Digester,"Avalon Dairy Digester Project is a new covered lagoon digester processing dairy manure in Kern County, California. The project is 100% producer-owned by host dairy Rock View Farms / DeGroot family, and developed and operated by Maas Energy Works. The project will deliver biogas to the Calgren Dairy Fuels cluster. This Cluster is operational, producing biogas from five digesters and injecting renewable natural gas into the SoCalGas pipeline. The methane-rich biogas from the digester will be compressed on site and then hauled using clean-burning renewable CNG-fueled trucks and compressed natural gas tube trailers to create a virtual pipeline the to the cluster's central hub. Once at the hub, it will be used to fuel partner and public trucks at an on-site compressed natural gas fueling station. The remainder of the gas will be injected into the adjacent SoCalGas utility pipeline for delivery to other CNG fueling stations around the Central Valley and the state.",,"12087 Jumper Ave, Wasco, CA 93280",16,35,Kern,3835514,1917757,10,159758,2021-11-30,2021-11-30,-,15975.8
Back Road Dairy,"22000 Road 28, Tulare, CA 93274",20-1059-000-SO,2021 Semi-Annual,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Backroad Ranch,Compost Bedded Pack Barn,"The proposed project at Backroad Ranch is to build a compost bedded pack barn to house milking cows relocated from an open lot and a freestall on site. By relocating the milking animals to the pack barn, their manure will be eliminated from the lagoon waste stream.",,"22147 Rd 28, Tulare, CA 93274",16,33,Tulare,940800,750000,5,13639,2021-12-31,2021-12-31,-,2727.8
Diamond J Dairy LLC,"6600 South Hwy 59, Merced, CA 95341",18-0452-000-AM,2018,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Alternative Manure Management Program,AWARD-IMP,Diamond J Dairy LLC,Solid Separation and Open Solar Drying,"Convert open lagoon manure storage to a solid separator system with open solar drying. We are first generation farmers, helping train up first generation Americans and reducing environmental impact of dairy farms in CA through reducing GHG emissions, reducing leaching of nutrients from manure storage and bringing modern farming to under served families.",,"602 E Sandy Mush Rd, Merced, CA 95341",14,27,Merced,553487,518237,5,6644,2019-07-31,2019-07-31,-,1328.8
Hamstra Dairy Complex,"7590 Avenue 260, Tulare, CA 93274",17-0506-000-DD,2017,California Department of Food and Agriculture,Climate Smart Agriculture,"Invests in competitive projects that reduce GHGs through increased efficiency in the agricultural sector. The program is comprised of four components, the Dairy Digester Research and Development Program, Alternative Manure Management, Healthy Soils Program  and the State Water Efficiency and Enhancement Program.",Dairy Digester Research and Development Program,AWARD-IMP,Hamstra Dairy Biogas,new dairy digester,"Hamstra Dairy in Tulare, CA will build a Tier 1 designed manure only covered lagoon with enhanced gas storage, gas pre-treatment and effluent distribution.  The project will add sand lane and screens for solid separation pre-digester.  Blowers will deliver biogas to an adjacent centralized upgrading facility where CO2, N2, O2, and further H2S removal produces biomethane meeting Socal Gas Rule 30 specifications A gas compressor lifts the gas pressure to Socal's Point of Receipt acceptance specification.  Gas marketing, dairy processor and hauler commitments guarantee 100% delivery of the projects biomethane as R-CNG for vehicle fuel use in California. California Bioenergy, 4 Creeks Engineering, Anaergia, 4C Global and SoCalGas comprise the project team.",,"7204 Ave 260 Tulare, CA 93274",12,32,Tulare,6580840,2e+06,10,205115,2020-03-31,2020-03-31,-,20511.5
